Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,1200500,Sena Madureira,1.67E-05,8.59E-05,0.000340047,0.000953785,0.018777636,0.395031855,4.3566648,33.45500309,2601.1342,32318.7,74220.55,80846.2899,224604.87,217226.36,125256.27,248625.82,216363.8,345390.29,367908.81,507232.17,586029.89,844346.02,1108415.36,1132275,2699850.81,3112362.4,2782940.92,2380995.46,1032607.36,,848540.49,947430.39,2059446.13
AC,1200609,Tarauacá,4.31E-06,4.50E-05,4.54E-05,3.47E-05,0.012520036,0.285088655,1.698891418,12.82094702,512.7324,5516.6,8327.26,6889.48,242047.75,54512.27,96334.29,114933.3,90724.46,170489.16,197946.78,249417.69,365614.84,585968.67,1249219.51,,693096.67,723931.99,1315304.23,1736591.81,1399074.86,1525947.13,2139509.97,2971191.92,1816437.27
AC,1200708,Xapuri,3.20E-05,6.98E-06,3.72E-06,0.000554092,0.004611055,0.196013055,2.687320691,,1485.2693,12016.3,30646.59,37315.51,39589.12,47106.46,28904.08,53572.82,133665.39,76218.68,112345.8,165296.38,86425.27,249227.12,182772.99,123319.19,256151.81,515311.24,602210.43,1037810.68,401659.58,819269.53,717221.7,847598.24,595599.57
AC,1200807,Porto Acre,,,,,0,0,0,0,0,3098.6,7161.55,0,9811.57,13763.95,18073.15,39543.25,56945.9,64829.4,87115.2,90375.76,154736.66,212541.06,264949.73,0,472425.36,609849.9,767129.33,1043790.98,644855.4,702557.31,487588.01,600836.03,556476.59
AL,2700102,Água Branca,6.28E-07,4.35E-06,2.93E-05,6.97E-05,0.007452873,0.256247455,1.587730982,14.14839564,121.8065,135.4,3863.86,6313.24,5784.04,,,99941,131899,96803.11,100654.61,98070.28,159394.6,224428.48,275207.46,381342.26,431695.04,1515527.98,3659093.66,4731140.63,1499021.39,370686.09,505459.01,612409.8,529639.3
AL,2700201,Anadia,1.01E-07,2.75E-08,3.83E-07,1.90E-06,0.000284546,0.113958582,1.034105564,0.128373491,61.9358,4534.5,27241.46,4060.5,4703.56,2960,5609,5840,66953,100803.52,101999.02,159074.76,154783.2,231339.86,200777.87,320867.92,325374.5,346427.79,300872.91,385129.73,67689.27,137836.56,83053.77,187489.26,230962.1
AL,2700300,Arapiraca,0.00028563,0.00076954,0.001362638,0.005964464,0.2831244,12.66672651,62.26856444,679.4120513,49711.5885,371096.1,1227628.68,587510.42,1564640.93,1467220.61,1308183.87,1805746.71,1946889,4832963.25,4303159.78,3249444.09,4657598.89,6335073.83,7178939.72,7622591.19,9894005.25,10480867.26,14498795.18,23899217.38,13252649.35,15050797.28,16426606.14,18478911.52,19760452
AL,2700409,Atalaia,9.21E-06,7.23E-06,2.88E-05,8.82E-05,0.018457382,46.46523247,193.8120349,1610.418685,6184.3522,49257.7,76575.12,109169.71,74295.63,42522,11496,67493,118275,359345,438610,373812,471480,521954,120813.4,,749467.09,975651.69,2014508.6,3109963.47,678801.6,854061.82,891606.29,942384.42,1257159
AL,2700508,Barra de Santo Antônio,3.20E-06,4.74E-06,4.60E-05,0.000146396,0.0004812,0.761768073,1.9386996,18.25524276,1889.9005,9841.4,25315.53,22082.29,25714.98,,,73534.8,76609.72,98819.17,100610.35,122711.55,257664.88,330270.58,862320.23,989313.66,386744.37,834554.9,492390.21,528296.42,657642.59,305995.91,376179.31,31586.37,164143.4
AL,2700607,Barra de São Miguel,1.32E-05,7.43E-05,0.000187797,0.000957111,0.040233418,3.371279346,17.92760371,88.33591593,7078.7992,78807.6,249825.41,357415.73,399711.75,387675.82,402410.6,476773,506810,481792.38,518157.75,566556.88,775101.85,869305.42,1442114.42,2008139.82,2212133.97,4021330.28,4620536.89,3568567.79,721725.21,739128.08,759449.44,1318927.32,1142314
AL,2700706,Batalha,4.53E-06,9.44E-06,1.70E-05,0.000129006,0.00871,0.303174546,1.961773382,10.54972793,1288.1767,550.1,9383.56,15821.03,18823.8,,,11009.32,47701.31,67695.17,115635.13,175905.78,,339183.58,609140.78,1169437.15,315097.75,275141.01,387766.46,706526.45,836918.26,726479.53,1058915.74,667303.65,367424.6
AL,2700805,Belém,2.10E-07,8.66E-07,1.65E-06,6.23E-06,0.002214073,0.003597382,0.005468655,0.079361746,28.1623,0,0,0,,80.71,0,1707,7267.56,13778.04,26194.04,,,299793.78,202588.42,,,285636.87,59023.97,,79065.53,,,,
AL,2700904,Belo Monte,1.09E-08,5.44E-07,2.85E-06,0,0.002160909,0.257112036,0.508914546,5.421869818,308.8073,0,2960.9,3925.95,2736.22,7381.11,12428.57,28239.38,29728,81778.46,57264.78,88886.31,85841.21,129340.84,138014.7,188976.6,169100.76,346820.96,254607.06,355051.14,68581.81,44900.15,61089.27,95902.75,160146.1
AL,2701001,Boca da Mata,4.13E-06,5.74E-06,4.72E-05,0.00010264,0.008108255,0.388114509,1.283827927,5.850969927,1608.4058,15705.4,6647.04,6970.92,55506.84,,,64305,82333,258178,150988.45,279920,,324128.76,771070.93,1018593.69,712640,1241871.11,1817166.04,2222294.47,849417.1,780735.02,809183.4,106583.17,131470.2
AL,2701100,Branquinha,2.00E-07,3.69E-06,3.98E-06,1.12E-06,0.055021927,0.002689309,0.637696473,1.593944146,121.4685,235.8,1012.7,5802.4799,2363.8,,,24695,38146.58,138171.53,141543.58,117489.64,140174.93,204959.99,249242.23,161589.98,132310.64,176226.46,747447.03,803273.01,277090.11,196697.69,164378.13,468537.01,174604.8
AL,2701209,Cacimbinhas,5.69E-07,1.36E-06,1.79E-06,1.23E-06,0.002524655,0.167683018,0.210218727,0,27.1025,0,2300.29,2332.6,,4648,5767,3191,57880,126530.49,77105.11,76927.06,96558.85,119308.07,110021.93,,152048.6099,75053.89,96625.47,120807.92,53729.49,149088.74,82141.82,152579.95,147159.1
AL,2701308,Cajueiro,6.56E-06,2.15E-05,2.54E-05,9.68E-05,0.001936546,0.173820546,0.744849418,1.111045491,77.0493,1271.6,3638.1,4417.55,12383.9,14666,14250,18306.57,23922,32880.07,32115.18,49440.47,,115857.99,192038.93,221175.71,270335.1,315874.66,,,133846,71873.01,236884.31,229294.9,108382.3
AL,2701357,Campestre,,,,,0,0,0,0,0,0,0,0,0,,,14083,11861,31457.18,26399.94,52158.51,111496.33,97197.63,125970.65,101439.52,121545.54,237425.67,158890.89,153366.93,52235.7,9098.85,20926.11,21745.95,42738.63
AL,2701407,Campo Alegre,2.32E-06,5.55E-06,4.39E-05,0.000101766,0.016644436,0.535276073,3.380194946,30.57754724,1523.4944,12616.4,52488.03,195077.44,5213.51,3759.7,1131.4,40708.14,30879.54,191360.52,234899.89,268709.34,555108.73,647499.76,645650.9,676039.1899,427687.24,458991.59,765791.27,944949.19,538822.71,,2980797.36,,
AL,2701506,Campo Grande,8.81E-07,4.57E-06,4.16E-06,0,0.000530546,0.019200655,0.1064,0.254545455,7.74,0,0,50000,,,,26008.8,28711.36,95023.67,61288.95,106574.54,131047.57,208552.96,309931.96,471142.63,562503.01,424120.17,361380.68,868028.81,168148.1,,,,117545.6
AL,2701605,Canapi,1.38E-06,,4.41E-08,1.45E-06,0.001507964,0.046979018,0.074181818,0.490909091,60.4545,491.8,2681.9699,7612.74,14423.06,,,3712.92,40509.71,61891.15,88823.43,52954,222434.91,195199.42,287672.28,578605.68,791308.65,1120402.21,1367883.06,1078004.35,586140.3,666259.92,778989.8,,1198536
AL,2701704,Capela,2.87E-06,3.66E-06,1.04E-05,5.64E-05,0.000192946,0.530009527,2.053826691,12.04082953,672.0326,5236.7,13548.52,5236.74,29598.25,21285,14856,22127.37,63389,79501,141175,125144,195157.74,288866.27,300542.13,423319.56,439731.08,534524.88,925622.51,846199.95,242399.43,291332.25,267411.28,222216.89,259519.1
AL,2701803,Carneiros,2.10E-07,2.99E-07,0,0.00011653,0.000427855,0.001416,0.022900364,0.212181818,0,0,40,0,5450,0,0,926,5779.61,9338.61,9203.41,9386.51,46190.57,49174.91,117989.86,38789.93,80271.65,121959.4,,,,,152025.81,,
AL,2701902,Chã Preta,0,2.72E-06,7.51E-06,2.24E-06,0.003464327,0.111138073,0.644991236,4.041481746,219.8626,1774.3,2293.6,5669.62,10162.03,7737,,12702,44746,82951.01,103003.83,111045.53,108124.88,144995.71,171257.02,198196.74,195581.98,199368.21,273742.1,,64048.7,97657.2,120082.89,136849.28,112651
AL,2702009,Coité do Nóia,1.09E-06,2.91E-06,9.61E-06,1.42E-05,9.82E-05,0.0482412,0.056463091,0,0,0,0,0,4072.91,,,14476.13,24486.05,26192.06,32767.92,53935.83,99008.91,172508.3,163089.59,209017,188364.28,246358.99,323279.48,499135.67,208951.62,149921.61,247572.97,213564.7,197984
AL,2702108,Colônia Leopoldina,2.27E-06,5.11E-06,1.04E-05,5.83E-06,0.003720546,0.0570644,1.2904692,1.766358618,217.4253,901.1,5260.51,6696.09,15327.49,,,31726,53288,142109.9,263639.47,138442.8,121812.4,119990.54,114778.88,188382.38,189183.1099,369725.52,713203.07,702654.34,255506.21,233080.28,236112.17,255939.3,
