Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,1200450,Senador Guiomard,5.94E-05,0.000259056,0.000591385,0.003612266,0,4.455841164,25.02597178,311.6235903,20300.9095,174495.8,379952.55,453430.73,519183.56,703976.72,684006.87,991597.48,1212170.17,1301474.12,1866718,2290728,,3249217,3533865.84,4091124.43,4271630.75,5448031.73,5662912.37,9737561.45,7605045.4,8582030.36,9378947.56,9535814.95,11500087.1
AC,1200500,Sena Madureira,0.000207049,0.00081408,0.001666808,0.010964788,0.241142764,0,57.58158204,378.0897429,20444.5856,175184,398050.1,480388.52,515374.66,815193.32,876086.01,1252464.49,1556299.63,1956724.57,2387473.46,2924242.28,3794379,4143351.5,4611612.51,4710157,5504618.82,6553007.76,6794805.39,8776107.05,9026468.48,,11313938.92,11465146.45,13853324.36
AC,1200609,Tarauacá,0.000173864,0.00072221,0.00171926,0.010864152,0,0,56.04888044,311.5099725,20296.1879,161766.1,397517.54,458743.91,529177.33,652762.22,672744.97,1019405.94,1200184.66,1510077.72,1844735.07,2270655.55,2941601.15,3208308.32,3554387.22,,4235845.65,5290172.02,5469766.12,7143140.59,7403921.27,8333560.8,9087876.98,9222277.8,11178300.29
AC,1200708,Xapuri,0.000150286,0.000615252,0.001664661,0.009807748,0,0,50.8482132,,18227.6437,129452.6,292642.06,0,383958.24,548796.36,577766.96,748522.52,1096575.77,1274626.28,1582059.23,1940249.36,2545858.37,2750679.67,3014165.12,3434938.77,3613368.22,4610678.9,4765096.74,6200200.08,6475167.26,7249999.37,7921381.49,8039769.8,9753217.4
AC,1200807,Porto Acre,,,,,0,0,0,0,0,42870.9,95570.4,113482.04,128087.15,238243.16,245728.92,351865.43,385934.54,568142.82,683349.12,840772.51,1097431.12,1205090.52,1313675.47,0,1601690.63,2011219.92,1954889.3,2822463.1,2843323,3175437.6,3481287.03,3550290.07,4296188.03
AL,2700102,Água Branca,7.96E-05,0.000229813,0.000820305,0.001583007,0.051324764,4.1799744,15.72630309,134.1078879,5049.6465,66741.7,176790.18,202773.96,234717.95,,,338943,438361,473336.39,553457.88,655031.91,755501.77,1095294.71,1214405.8,1256873.76,1300465.77,1563387.94,1737963.17,1908789.79,2109733.19,2385936.31,2589364.33,3342807.34,3293025.5
AL,2700201,Anadia,0.000314398,0.000890496,0.002177989,0.003294724,0.086045746,9.505602546,38.52770658,261.4742933,9598.3929,117016.4,320650.45,380293.03,434520.3,402871,404267,503334,515351,589177.78,853524.25,891911.73,796926.71,1047035.22,1229783.14,1397291.83,1530467.7,1837843.57,2186483.96,2395392.57,2748248.9,2911074.79,2777053.41,3722636.87,3840600.8
AL,2700300,Arapiraca,0.00235829,0.007239167,0.016012736,0.039827687,1.284486873,79.60861691,312.3878916,2063.62625,98920.4627,1343687.4,3964242.03,5160211.87,5468361.66,4585918.75,4776820.12,6016290.22,7490940,7039909.01,8259461.48,8638053.03,10111531.2,13529480.11,17755221.54,20724200.58,21917850.82,27633513.68,34523259.6,38799944.25,40668349.38,44462877.25,52938967.21,68637043.85,66626875
AL,2700409,Atalaia,0.001656719,0.004541179,0.010875931,0.020169684,0.5958824,4.406329673,2.971868509,0,56546.4034,572619.9,1269089.15,1452102.64,1463566.77,1438255,1174725,1720826,1775331,1407484,2550985,3227374,3087772,3641894,4156234.1,,5625460.03,6372923.09,7297189.81,7295684.89,7416754.7,7620342.71,6474359.97,8089278.97,8638507.1
AL,2700508,Barra de Santo Antônio,0.000212245,0.000604327,0.001485067,0.003733309,0.106591418,3.93693,15.27616255,59.46644782,6100.3446,128664.8,208795.03,208677.62,259875.75,,,442973.07,508068.82,499888.53,555474.18,643844.1,652727.63,663129.38,747699.52,1154121.33,1234336.46,1414380.33,1516647.28,1734983.3,2025515.66,2154960.35,2269190.97,2767374.61,2874226
AL,2700607,Barra de São Miguel,0.000106816,0.000316739,0.000799591,0.001759556,0.029570546,2.124330727,8.306718036,100.1500016,4154.1782,52218,174151.99,208538.62,186130.36,210291.72,197210.87,281497,347516,372394.64,469838.7,577545.73,608785.81,780928.51,882348.55,1077925.18,1172371.82,1388995.63,1516381.27,1626110.27,1741185.83,1952894.41,2030701.91,2497974.58,2669028.7
AL,2700706,Batalha,0.000123452,0.000349117,0.001792443,0.003073025,0.091706655,12.08138269,46.02248291,378.2204129,18267.7147,82498.2,537028.64,456211.05,417077.04,,,535427.09,564646.82,474798.2,584372.04,761127.96,,943922.33,1009345.79,1283328.42,1276626.2,1684849.39,1947075.92,1908151.71,2188299.28,2504347.77,2473970.79,3639854.36,4065073.4
AL,2700805,Belém,3.25E-05,9.70E-05,0.000343905,0.000645406,0.024433018,1.455704546,5.679940146,67.49942178,2971.6873,38090.8,210397.42,173770.37,,191455.22,177117.09,237139.04,266286.94,284693.08,330789.45,,,461089.99,512732.94,,,913669.98,990674.62,,1173108.96,,,,
AL,2700904,Belo Monte,2.29E-05,6.76E-05,0.00035082,0.000731668,0.037776255,1.365002109,9.035986109,117.3678508,4391.6098,56314.9,114695.94,121946.99,179027.77,289434.5,248376.48,282976.15,373637,434073.68,514213.62,654628.22,739126.65,968115.66,986030.44,1157082.15,1115242.98,1296426.9,1454899.93,1663793.85,1842914.04,2070475.02,2097125,3103148.23,3588280.11
AL,2701001,Boca da Mata,0.000966087,0.002742411,0.006590878,0.020569813,0.284452146,22.86990302,90.58764218,838.6076643,29305.4798,223339.1,621778.35,699534.74,854805.71,,,1965153,1503227,2004583,3253946.52,3446358,,2544883.34,2925287.39,3425631.22,3031023.88,4242388.18,3896585.77,6129854.19,7750763.38,10914573.49,10854819.84,10275208.42,8708318.3
AL,2701100,Branquinha,0.00026819,0.000757938,0.001822931,0.002635143,0,4.901075927,19.299212,100.1769507,4710.1463,55929.8,124867.15,139438.8599,157828.65,,,428442,414740.47,362757.14,486740.26,686831.16,643495.17,788512.24,891610.64,1068448.36,1038862.87,1259130.12,1411453.7,1893750.44,1596135.88,1849030.26,2225632.28,2848076.76,2893568.3
AL,2701209,Cacimbinhas,0.000143509,0.000425863,0.001036275,0.001850668,0.0388352,2.348063709,8.949396036,76.94714825,3832.9447,76889.7,125215.66,144599.78,,264141,253919,358171,371122,329009.4,468944.22,548379.96,594997.81,761783.73,884932.15,,1020949.73,1238877.42,1331221.74,1483322.6,1678674.76,1890226.03,1963889.51,2902732.81,3186282.5
AL,2701308,Cajueiro,0.000772863,0.002265117,0.005461205,0.013478704,0.119268109,0.033709855,27.3847112,272.3683567,12485.83,170483.2,338518.49,420703.34,445745.44,302104,330735,472872.51,577717,630537.35,850450.18,957165.46,,890011.4,1008706.05,1037385.2,1184807.6,1554327.87,,,3549756.9,4751563.19,4865867.33,5089408,5232313.9
AL,2701357,Campestre,,,,,0,0,0,0,0,0,0,0,78885.81,,,219711,279640,359518.56,395702.11,480955.13,503429.99,696345.82,666637.4699,775434.23,837622.04,1014090.75,1163992.72,1246058.44,1301189.09,1474277.61,1515304.12,1927768.96,2140706.23
AL,2701407,Campo Alegre,0.000911759,0.00258312,0.004969673,0.006426288,0.212573418,18.75019207,84.93014047,623.7267869,37886.2085,331546.7,1090081.91,1511546.41,883454.6,1203109.22,1408989.49,1147795.31,931338.39,1806878.33,3050945.61,3460873.73,3108958.01,3130214.74,3476186.79,4481656.73,4185251.5,4350094,4747270.94,7689194.1,11288851.11,,10598786.46,,
AL,2701506,Campo Grande,1.27E-05,3.26E-05,0.000459451,0.00072587,0.036344546,1.939902618,7.9719916,77.13633865,3348.1224,49892.3,125883.33,131573.24,,,,251522.01,276169.63,298319.64,406171.59,481683.42,443307.12,570507.02,713318.22,877460.99,939011.9,1173728.66,1230599.59,1592081.14,1798112.52,,,,3857275.4
AL,2701605,Canapi,5.30E-05,,0.000721251,0.001228183,0.0394752,2.955023564,11.61886622,105.4136911,4936.4232,67885.7,176819.52,202070.23,265250.37,,,428890.5,390725.8,419114.54,583952.97,601167,789692.83,956771.9399,1140255.99,1278673.17,1081122.04,1553408.35,1746123.44,1896056.16,2048754.87,2308109.6,2415732.38,,3847822.1
AL,2701704,Capela,0.000664112,0.001932001,0.00463411,0.011919431,0.182432655,0,36.6299764,248.5154905,12219.6589,157669.2,316026.08,157669.28,361134.67,349574,478254,681104.01,577171,484722,785781,931761,995533.72,1251516.72,1330585,1461413.55,1602025.47,2041967.49,2373320.94,2678882.48,2907324.96,3043627.67,3759898.33,4957226.89,4695571.2
AL,2701803,Carneiros,4.35E-05,0.000129822,0.000344412,0.001671486,0.074978109,1.610427055,6.099826546,70.94996989,3297.8906,37137.4,91387.6698,100684.14,137195.59,172312.49,164407.31,222244.77,231109.03,300843.7,355725.32,423255.42,482137.56,633916.6599,678376.02,614433.51,832953.15,1005245.8,,,,,1562153.99,,
AL,2701902,Chã Preta,4.24E-05,0.000142847,0.000522301,0.001686817,0.036835418,2.122259891,8.058679418,0,3515.7162,43333.8,108383.72,131041.52,159717.33,207906,,272575,260840,341784.8,380107.17,473256.6,532133.37,668417.94,743447.88,886023.86,934962.61,1096418.06,1201113.4,,1436541.88,1754205.42,1672979.22,2523673.25,2196107.7
AL,2702009,Coité do Nóia,3.71E-05,0.000105392,0.000595742,0.00094207,0.036733018,0,8.461639273,82.28742807,3727.9241,46038.3,112443,168261.28,147181.49,,,209426.39,290827.8,329270.81,384873.72,450815.77,507431.69,647544.33,694275.12,798019.18,849941.46,1265325.72,1416510.19,1269905.72,1362484.61,1665836.9,1892431.98,2242500.19,2374490
AL,2702108,Colônia Leopoldina,0.000549795,0.001566797,0.003766502,0.006630307,0.133241673,10.98070251,44.05798698,218.7385612,12588.7713,131270,156058.24,238945.79,431722.58,,,621461,827262,887808.78,1011021.4,1105604.53,1010570.45,1343420.03,1623826.33,2238972.72,2356262.36,2609233.68,3465441.09,3639873.26,3625453.24,4598058.68,4713167.11,5516304.87,
