Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,1200435,Santa Rosa do Purus,,,,,,,,,36854.6343,319384.5,652880.47,770837.3199,868186.37,1428187.21,1638708.47,1981838.14,2276072.75,3320948.35,3823288,4213616,5721579.27,7061704.19,8469789.47,,10256920.96,13480999.28,15574005.24,14947639.93,15555792,,17729760.72,20389897.47,19626464
AC,1200450,Senador Guiomard,0.000392805,0.001585182,0.004086433,0.028590019,0.515493636,23.89618502,136.6231608,1492.427947,74775.796,635387.1,1355781.5,1738745.6,1959802.59,3650662.88,4083385.27,4800841.92,6352116.99,6522499,7811955,9598650,,15213484,19173679.74,21366677.74,19691616.76,21823948.04,25858784.31,28334561.56,30196709,33037990.32,34339881.11,37532172.95,38822790
AC,1200500,Sena Madureira,0.001028829,0.003622601,0.008514934,0.061769947,0.8669468,37.95937891,164.8170952,2078.176311,103362.7459,868360.2,1761293.41,2436328.18,2345710.41,4608388.03,5683703.19,7049051.29,8482404.27,11649945.68,11991439.17,15001282.01,18388930.62,21276583.82,23901202.18,11565771,31145453.03,33348767.32,38837848.52,44890841.83,47051776.23,,56201362.27,60893908.41,60627518.96
AC,1200609,Tarauacá,0.000965248,0.00349006,0.009072443,0.061857675,0.960859491,39.86058971,180.5780844,2202.011673,108673.167,900734.6,1917875.66,2321005.99,2493458.44,4982966.56,5253148.69,7641172.72,8850499.08,11958150.16,13371650.89,15587909.11,18842274.32,21637709.29,25217677.58,,30801346.07,34887560.96,35407828.37,44948335.01,48192784.95,56423767.17,57538372.49,68703841.73,66368815.44
AC,1200708,Xapuri,0.000691898,0.002368692,0.006584353,0.041673257,0.446558218,29.53928647,181.2348206,,83487.8344,682608.9,1416227.75,0,2180942.9,3784222.67,4796823.34,5607179.58,4930517.91,6562251.64,7101251.13,9747627.99,8458695.64,10523957.76,12478450.15,14855057.38,13625193.49,16379944.29,18283648.59,20215370,21980682.31,24788230.36,25663424.23,28249620.55,30589059.39
AC,1200807,Porto Acre,,,,,0,0,0,0,0,326472,680326.86,1091900.98,1021211.2,1454168.03,1752886.46,1913993.56,2795757.02,4317969.42,4355613.61,5250256.3,6976734.59,7906281.93,9150060.16,10502044.36,12785885.35,14040672.57,17164777.01,20285219.26,20077848,20600967.06,22310327.85,23576510.95,26913939.34
AL,2700102,Água Branca,0.000945479,0.002916225,0.008173575,0.05216343,0.694733964,39.48508978,180.1054136,1920.828669,118630.5567,1125263.5,2251271.67,3054917.19,2870877.23,,,5289382,6024554,7757525.18,8157639.3,9259961.41,11200258.76,12859725.51,15308584.33,19507567.49,20329603.35,22837767.04,28406204.63,30415202.64,32272230.14,17502367.53,39406269.88,45515353.96,46233153
AL,2700201,Anadia,0.001091407,0.003773288,0.010195463,0.05765571,0.902207964,39.83980411,161.678727,1603.578669,107593.3773,966781.8,2174280.03,2552055.69,2698949.72,4182868,5012277,5775087,5943795,7799429.01,8789796.03,10287732.18,12193108.31,13485160.46,15634225.67,18669709.68,19906224.09,22558524.57,26811753.66,28863802.74,30683795,32913566.42,34419786.27,21949676.61,55838022
AL,2700300,Arapiraca,0.005152055,0.02980607,0.084254698,0.481055307,7.477074836,315.5861363,1335.648212,12659.68035,858568.6727,8041065,18870876.52,22831643.7,25688816.08,48865365.72,46947864.45,55712259.59,64693558,79429318.64,88112334.6,98579962.87,114327370.7,127875025.2,149648667.2,191799038.5,206256023.8,228670123.5,270227139.8,295314471.7,330930579.5,136065771.1,389334171.2,453345163,471822816
AL,2700409,Atalaia,0.002361989,0.006953962,0.017595069,0.06532183,1.235075491,29.67824662,117.1543609,2677.416849,216889.7769,1246147.4,4447968.38,4899844.87,5406307.88,8880061,9682458,10829446,11878182,14496109,14854260,19684280,22445952,28350639,32192665.72,,45813993.11,54693816.42,61700339.47,64994489.93,68098280,74567212.97,76641655.65,85560276.84,85567635
